method,marker_gain,control_fp,rare_support,ground_truth_ap,ground_truth_auc,disagreement_penalty
raw,0.0,0.0,0.0,0.23706896551724138,0.5,0.46133774518966675
gene_median,0.0,0.999795,1.0,0.25670073196835963,0.49404211607601434,0.6603347063064575
svd_impute,0.0,0.44505,0.5106174161313347,0.47848418029868,0.6598870056497175,0.3158392906188965
graph_smooth,0.0,0.4773,0.5074054246966453,0.6245811680167577,0.7656908063687725,0.3836939036846161
MAGIC,0.0,0.54807,0.6049250535331906,0.5504488050667663,0.6843348741653826,0.2938397228717804
scVI,0.0,0.57521,0.5866345467523197,0.6047781768209797,0.7544940934771445,0.29773563146591187
latent_truth_scvi_select,0.0,0.0085,0.05424696645253391,0.5339857874976024,0.6740626605033385,0.4207736849784851
