decision_threshold,rare_cell_boost,precision_curve,recall_curve,pr_auc,roc_auc,precision_at_threshold,recall_at_threshold,f1_at_threshold,fill_fraction,rare_cell_fill_fraction
0.45,0.05,"[0.39906103286384975, 0.4009433962264151, 0.3981042654028436, 0.4, 0.4019138755980861, 0.40384615384615385, 0.40096618357487923, 0.39805825242718446, 0.3951219512195122, 0.39215686274509803, 0.39408866995073893, 0.39603960396039606, 0.39800995024875624, 0.4, 0.3969849246231156, 0.398989898989899, 0.4010152284263959, 0.4030612244897959, 0.40512820512820513, 0.4020618556701031, 0.40414507772020725, 0.40625, 0.4083769633507853, 0.4105263157894737, 0.4126984126984127, 0.4095744680851064, 0.4117647058823529, 0.41397849462365593, 0.41621621621621624, 0.41847826086956524, 0.41530054644808745, 0.4175824175824176, 0.4143646408839779, 0.4111111111111111, 0.4134078212290503, 0.4157303370786517, 0.4124293785310734, 0.4147727272727273, 0.41714285714285715, 0.41379310344827586, 0.4161849710982659, 0.4186046511627907, 0.42105263157894735, 0.4235294117647059, 0.4260355029585799, 0.4226190476190476, 0.41916167664670656, 0.42168674698795183, 0.42424242424242425, 0.4268292682926829, 0.4294478527607362, 0.43209876543209874, 0.42857142857142855, 0.425, 0.4276729559748428, 0.4240506329113924, 0.4267515923566879, 0.4230769230769231, 0.4258064516129032, 0.42857142857142855, 0.43137254901960786, 0.4276315789473684, 0.423841059602649, 0.4266666666666667, 0.42953020134228187, 0.42567567567567566, 0.4217687074829932, 0.4246575342465753, 0.42758620689655175, 0.4236111111111111, 0.42657342657342656, 0.4295774647887324, 0.4326241134751773, 0.4357142857142857, 0.4316546762589928, 0.427536231884058, 0.4306569343065693, 0.4264705882352941, 0.42962962962962964, 0.43283582089552236, 0.43609022556390975, 0.4318181818181818, 0.4351145038167939, 0.43846153846153846, 0.4418604651162791, 0.4453125, 0.44881889763779526, 0.4444444444444444, 0.44, 0.43548387096774194, 0.43902439024390244, 0.4426229508196721, 0.4462809917355372, 0.45, 0.44537815126050423, 0.4491525423728814, 0.452991452991453, 0.45689655172413796, 0.45217391304347826, 0.45614035087719296, 0.45132743362831856, 0.44642857142857145, 0.45045045045045046, 0.45454545454545453, 0.45871559633027525, 0.46296296296296297, 0.4672897196261682, 0.46226415094339623, 0.4666666666666667, 0.47115384615384615, 0.47572815533980584, 0.4803921568627451, 0.48514851485148514, 0.48, 0.48484848484848486, 0.47959183673469385, 0.4845360824742268, 0.4791666666666667, 0.4842105263157895, 0.48936170212765956, 0.4946236559139785, 0.4891304347826087, 0.4945054945054945, 0.4888888888888889, 0.4943820224719101, 0.48863636363636365, 0.4827586206896552, 0.4883720930232558, 0.4823529411764706, 0.4880952380952381, 0.4939759036144578, 0.5, 0.49382716049382713, 0.5, 0.5063291139240507, 0.5128205128205128, 0.5194805194805194, 0.5263157894736842, 0.5333333333333333, 0.527027027027027, 0.5205479452054794, 0.5138888888888888, 0.5211267605633803, 0.5142857142857142, 0.5072463768115942, 0.5147058823529411, 0.5223880597014925, 0.5151515151515151, 0.5230769230769231, 0.515625, 0.5238095238095238, 0.532258064516129, 0.5409836065573771, 0.5333333333333333, 0.5423728813559322, 0.5344827586206896, 0.543859649122807, 0.5535714285714286, 0.5636363636363636, 0.5740740740740741, 0.5849056603773585, 0.5961538461538461, 0.6078431372549019, 0.62, 0.6122448979591837, 0.625, 0.6382978723404256, 0.6521739130434783, 0.6444444444444445, 0.6590909090909091, 0.6744186046511628, 0.6666666666666666, 0.6829268292682927, 0.7, 0.6923076923076923, 0.6842105263157895, 0.7027027027027027, 0.7222222222222222, 0.7142857142857143, 0.7058823529411765, 0.7272727272727273, 0.75, 0.7741935483870968, 0.8, 0.7931034482758621, 0.8214285714285714, 0.8148148148148148, 0.8461538461538461, 0.84, 0.8333333333333334, 0.8695652173913043, 0.8636363636363636, 0.8571428571428571, 0.85, 0.8421052631578947, 0.8333333333333334, 0.8823529411764706, 0.875, 0.8666666666666667, 0.8571428571428571, 0.9230769230769231, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 0.9882352941176471, 0.9882352941176471, 0.9882352941176471, 0.9882352941176471, 0.9764705882352941, 0.9647058823529412, 0.9529411764705882, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9294117647058824, 0.9294117647058824, 0.9294117647058824, 0.9294117647058824, 0.9294117647058824, 0.9176470588235294, 0.9176470588235294, 0.9176470588235294, 0.9176470588235294, 0.9176470588235294, 0.9176470588235294, 0.9058823529411765, 0.9058823529411765, 0.9058823529411765, 0.9058823529411765, 0.9058823529411765, 0.8941176470588236, 0.8941176470588236, 0.8823529411764706, 0.8705882352941177, 0.8705882352941177, 0.8705882352941177, 0.8588235294117647, 0.8588235294117647, 0.8588235294117647, 0.8470588235294118, 0.8470588235294118, 0.8470588235294118, 0.8470588235294118, 0.8470588235294118, 0.8470588235294118, 0.8352941176470589, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8117647058823529, 0.8, 0.8, 0.788235294117647, 0.788235294117647, 0.7764705882352941, 0.7764705882352941, 0.7764705882352941, 0.7764705882352941, 0.7647058823529411, 0.7529411764705882, 0.7529411764705882, 0.7529411764705882, 0.7411764705882353, 0.7294117647058823, 0.7294117647058823, 0.7294117647058823, 0.7176470588235294, 0.7176470588235294, 0.7176470588235294, 0.7176470588235294, 0.7176470588235294, 0.7058823529411765, 0.6941176470588235, 0.6941176470588235, 0.6823529411764706, 0.6823529411764706, 0.6823529411764706, 0.6823529411764706, 0.6705882352941176, 0.6705882352941176, 0.6705882352941176, 0.6705882352941176, 0.6705882352941176, 0.6705882352941176, 0.6588235294117647, 0.6470588235294118, 0.6352941176470588, 0.6352941176470588, 0.6352941176470588, 0.6352941176470588, 0.6352941176470588, 0.6235294117647059, 0.6235294117647059, 0.6235294117647059, 0.6235294117647059, 0.611764705882353, 0.611764705882353, 0.6, 0.5882352941176471, 0.5882352941176471, 0.5882352941176471, 0.5882352941176471, 0.5882352941176471, 0.5882352941176471, 0.5764705882352941, 0.5764705882352941, 0.5764705882352941, 0.5764705882352941, 0.5764705882352941, 0.5764705882352941, 0.5647058823529412, 0.5647058823529412, 0.5529411764705883, 0.5529411764705883, 0.5411764705882353, 0.5411764705882353, 0.5411764705882353, 0.5411764705882353, 0.5294117647058824, 0.5294117647058824, 0.5176470588235295, 0.5176470588235295, 0.5058823529411764, 0.49411764705882355, 0.49411764705882355, 0.4823529411764706, 0.4823529411764706, 0.4823529411764706, 0.4823529411764706, 0.47058823529411764, 0.47058823529411764, 0.47058823529411764, 0.47058823529411764, 0.47058823529411764, 0.47058823529411764, 0.47058823529411764, 0.4588235294117647, 0.4470588235294118, 0.43529411764705883, 0.43529411764705883, 0.4235294117647059, 0.4117647058823529, 0.4117647058823529, 0.4117647058823529, 0.4, 0.4, 0.38823529411764707, 0.38823529411764707, 0.38823529411764707, 0.38823529411764707, 0.3764705882352941, 0.3764705882352941, 0.36470588235294116, 0.36470588235294116, 0.36470588235294116, 0.36470588235294116, 0.36470588235294116, 0.36470588235294116, 0.36470588235294116, 0.36470588235294116, 0.36470588235294116, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.3411764705882353, 0.3411764705882353, 0.3411764705882353, 0.32941176470588235, 0.32941176470588235, 0.32941176470588235, 0.3176470588235294, 0.3058823529411765, 0.3058823529411765, 0.3058823529411765, 0.29411764705882354, 0.2823529411764706, 0.2823529411764706, 0.2823529411764706, 0.2823529411764706, 0.2823529411764706, 0.27058823529411763, 0.27058823529411763, 0.25882352941176473, 0.25882352941176473, 0.24705882352941178, 0.23529411764705882, 0.23529411764705882, 0.2235294117647059, 0.21176470588235294, 0.2, 0.18823529411764706, 0.17647058823529413, 0.17647058823529413, 0.16470588235294117, 0.15294117647058825, 0.1411764705882353, 0.1411764705882353, 0.1411764705882353, 0.12941176470588237, 0.11764705882352941, 0.10588235294117647, 0.09411764705882353, 0.08235294117647059, 0.07058823529411765, 0.058823529411764705, 0.047058823529411764, 0.03529411764705882, 0.023529411764705882, 0.011764705882352941, 0.0]",0.6059328815217685,0.6179227941176471,0.6444444443012346,0.3411764705480969,0.4461538415585799,0.101,0.017495395948434623
0.45,0.1,"[0.39906103286384975, 0.4009433962264151, 0.3981042654028436, 0.4, 0.4019138755980861, 0.40384615384615385, 0.40096618357487923, 0.39805825242718446, 0.3951219512195122, 0.39215686274509803, 0.39408866995073893, 0.39603960396039606, 0.39800995024875624, 0.4, 0.3969849246231156, 0.398989898989899, 0.4010152284263959, 0.4030612244897959, 0.40512820512820513, 0.4072164948453608, 0.40932642487046633, 0.4114583333333333, 0.41361256544502617, 0.4105263157894737, 0.4126984126984127, 0.4148936170212766, 0.41711229946524064, 0.41935483870967744, 0.41621621621621624, 0.41304347826086957, 0.41530054644808745, 0.41208791208791207, 0.4143646408839779, 0.4166666666666667, 0.41899441340782123, 0.42134831460674155, 0.423728813559322, 0.42613636363636365, 0.42857142857142855, 0.43103448275862066, 0.43352601156069365, 0.436046511627907, 0.4327485380116959, 0.4294117647058823, 0.4260355029585799, 0.4226190476190476, 0.41916167664670656, 0.42168674698795183, 0.42424242424242425, 0.4268292682926829, 0.4294478527607362, 0.42592592592592593, 0.422360248447205, 0.425, 0.42138364779874216, 0.4240506329113924, 0.4267515923566879, 0.42948717948717946, 0.432258064516129, 0.42857142857142855, 0.43137254901960786, 0.4342105263157895, 0.4304635761589404, 0.43333333333333335, 0.436241610738255, 0.43243243243243246, 0.43537414965986393, 0.4315068493150685, 0.42758620689655175, 0.4305555555555556, 0.43356643356643354, 0.4295774647887324, 0.425531914893617, 0.42142857142857143, 0.4172661870503597, 0.42028985507246375, 0.4233576642335766, 0.4264705882352941, 0.42962962962962964, 0.43283582089552236, 0.42857142857142855, 0.4318181818181818, 0.4351145038167939, 0.43846153846153846, 0.4418604651162791, 0.4375, 0.4330708661417323, 0.4365079365079365, 0.44, 0.4435483870967742, 0.44715447154471544, 0.45081967213114754, 0.45454545454545453, 0.45, 0.453781512605042, 0.4491525423728814, 0.452991452991453, 0.4482758620689655, 0.45217391304347826, 0.45614035087719296, 0.45132743362831856, 0.44642857142857145, 0.45045045045045046, 0.45454545454545453, 0.45871559633027525, 0.46296296296296297, 0.4672897196261682, 0.46226415094339623, 0.4666666666666667, 0.47115384615384615, 0.47572815533980584, 0.4803921568627451, 0.48514851485148514, 0.48, 0.48484848484848486, 0.47959183673469385, 0.4845360824742268, 0.4791666666666667, 0.4842105263157895, 0.48936170212765956, 0.4946236559139785, 0.4891304347826087, 0.4945054945054945, 0.4888888888888889, 0.4943820224719101, 0.48863636363636365, 0.4827586206896552, 0.4883720930232558, 0.4823529411764706, 0.4880952380952381, 0.4939759036144578, 0.5, 0.49382716049382713, 0.5, 0.5063291139240507, 0.5128205128205128, 0.5194805194805194, 0.5263157894736842, 0.5333333333333333, 0.527027027027027, 0.5205479452054794, 0.5138888888888888, 0.5211267605633803, 0.5142857142857142, 0.5072463768115942, 0.5147058823529411, 0.5223880597014925, 0.5151515151515151, 0.5230769230769231, 0.515625, 0.5238095238095238, 0.532258064516129, 0.5409836065573771, 0.5333333333333333, 0.5423728813559322, 0.5344827586206896, 0.543859649122807, 0.5535714285714286, 0.5636363636363636, 0.5740740740740741, 0.5849056603773585, 0.5961538461538461, 0.6078431372549019, 0.62, 0.6122448979591837, 0.625, 0.6382978723404256, 0.6521739130434783, 0.6444444444444445, 0.6590909090909091, 0.6744186046511628, 0.6666666666666666, 0.6829268292682927, 0.7, 0.6923076923076923, 0.6842105263157895, 0.7027027027027027, 0.7222222222222222, 0.7142857142857143, 0.7058823529411765, 0.7272727272727273, 0.75, 0.7741935483870968, 0.8, 0.7931034482758621, 0.8214285714285714, 0.8148148148148148, 0.8461538461538461, 0.84, 0.8333333333333334, 0.8695652173913043, 0.8636363636363636, 0.8571428571428571, 0.85, 0.8421052631578947, 0.8333333333333334, 0.8823529411764706, 0.875, 0.8666666666666667, 0.8571428571428571, 0.9230769230769231, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 0.9882352941176471, 0.9882352941176471, 0.9882352941176471, 0.9882352941176471, 0.9764705882352941, 0.9647058823529412, 0.9529411764705882, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9294117647058824, 0.9294117647058824, 0.9294117647058824, 0.9294117647058824, 0.9294117647058824, 0.9294117647058824, 0.9294117647058824, 0.9294117647058824, 0.9294117647058824, 0.9176470588235294, 0.9176470588235294, 0.9176470588235294, 0.9176470588235294, 0.9176470588235294, 0.9058823529411765, 0.8941176470588236, 0.8941176470588236, 0.8823529411764706, 0.8823529411764706, 0.8823529411764706, 0.8823529411764706, 0.8823529411764706, 0.8823529411764706, 0.8823529411764706, 0.8823529411764706, 0.8823529411764706, 0.8823529411764706, 0.8823529411764706, 0.8705882352941177, 0.8588235294117647, 0.8470588235294118, 0.8352941176470589, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8117647058823529, 0.8, 0.8, 0.788235294117647, 0.788235294117647, 0.788235294117647, 0.788235294117647, 0.788235294117647, 0.7764705882352941, 0.7764705882352941, 0.7764705882352941, 0.7647058823529411, 0.7647058823529411, 0.7647058823529411, 0.7529411764705882, 0.7529411764705882, 0.7411764705882353, 0.7294117647058823, 0.7294117647058823, 0.7294117647058823, 0.7176470588235294, 0.7058823529411765, 0.6941176470588235, 0.6823529411764706, 0.6823529411764706, 0.6823529411764706, 0.6823529411764706, 0.6823529411764706, 0.6823529411764706, 0.6705882352941176, 0.6705882352941176, 0.6705882352941176, 0.6705882352941176, 0.6705882352941176, 0.6588235294117647, 0.6470588235294118, 0.6470588235294118, 0.6470588235294118, 0.6470588235294118, 0.6470588235294118, 0.6470588235294118, 0.6470588235294118, 0.6352941176470588, 0.6352941176470588, 0.6235294117647059, 0.6235294117647059, 0.611764705882353, 0.611764705882353, 0.611764705882353, 0.6, 0.5882352941176471, 0.5882352941176471, 0.5882352941176471, 0.5882352941176471, 0.5882352941176471, 0.5882352941176471, 0.5764705882352941, 0.5764705882352941, 0.5764705882352941, 0.5764705882352941, 0.5764705882352941, 0.5764705882352941, 0.5647058823529412, 0.5647058823529412, 0.5529411764705883, 0.5529411764705883, 0.5411764705882353, 0.5411764705882353, 0.5411764705882353, 0.5411764705882353, 0.5294117647058824, 0.5294117647058824, 0.5176470588235295, 0.5176470588235295, 0.5058823529411764, 0.49411764705882355, 0.49411764705882355, 0.4823529411764706, 0.4823529411764706, 0.4823529411764706, 0.4823529411764706, 0.47058823529411764, 0.47058823529411764, 0.47058823529411764, 0.47058823529411764, 0.47058823529411764, 0.47058823529411764, 0.47058823529411764, 0.4588235294117647, 0.4470588235294118, 0.43529411764705883, 0.43529411764705883, 0.4235294117647059, 0.4117647058823529, 0.4117647058823529, 0.4117647058823529, 0.4, 0.4, 0.38823529411764707, 0.38823529411764707, 0.38823529411764707, 0.38823529411764707, 0.3764705882352941, 0.3764705882352941, 0.36470588235294116, 0.36470588235294116, 0.36470588235294116, 0.36470588235294116, 0.36470588235294116, 0.36470588235294116, 0.36470588235294116, 0.36470588235294116, 0.36470588235294116, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.3411764705882353, 0.3411764705882353, 0.3411764705882353, 0.32941176470588235, 0.32941176470588235, 0.32941176470588235, 0.3176470588235294, 0.3058823529411765, 0.3058823529411765, 0.3058823529411765, 0.29411764705882354, 0.2823529411764706, 0.2823529411764706, 0.2823529411764706, 0.2823529411764706, 0.2823529411764706, 0.27058823529411763, 0.27058823529411763, 0.25882352941176473, 0.25882352941176473, 0.24705882352941178, 0.23529411764705882, 0.23529411764705882, 0.2235294117647059, 0.21176470588235294, 0.2, 0.18823529411764706, 0.17647058823529413, 0.17647058823529413, 0.16470588235294117, 0.15294117647058825, 0.1411764705882353, 0.1411764705882353, 0.1411764705882353, 0.12941176470588237, 0.11764705882352941, 0.10588235294117647, 0.09411764705882353, 0.08235294117647059, 0.07058823529411765, 0.058823529411764705, 0.047058823529411764, 0.03529411764705882, 0.023529411764705882, 0.011764705882352941, 0.0]",0.6066856221097285,0.620404411764706,0.6444444443012346,0.3411764705480969,0.4461538415585799,0.10106,0.01860036832412523
0.45,0.2,"[0.39906103286384975, 0.4009433962264151, 0.3981042654028436, 0.4, 0.4019138755980861, 0.40384615384615385, 0.40096618357487923, 0.39805825242718446, 0.3951219512195122, 0.39215686274509803, 0.39408866995073893, 0.39603960396039606, 0.39800995024875624, 0.4, 0.3969849246231156, 0.398989898989899, 0.4010152284263959, 0.4030612244897959, 0.40512820512820513, 0.4072164948453608, 0.40932642487046633, 0.4114583333333333, 0.41361256544502617, 0.4105263157894737, 0.4126984126984127, 0.4148936170212766, 0.41711229946524064, 0.41935483870967744, 0.41621621621621624, 0.41847826086956524, 0.41530054644808745, 0.4175824175824176, 0.4198895027624309, 0.4222222222222222, 0.4245810055865922, 0.42696629213483145, 0.4293785310734463, 0.4318181818181818, 0.4342857142857143, 0.4367816091954023, 0.43352601156069365, 0.43023255813953487, 0.4327485380116959, 0.43529411764705883, 0.4378698224852071, 0.44047619047619047, 0.437125748502994, 0.43373493975903615, 0.43636363636363634, 0.4329268292682927, 0.43558282208588955, 0.4382716049382716, 0.4409937888198758, 0.44375, 0.44025157232704404, 0.43670886075949367, 0.4394904458598726, 0.4423076923076923, 0.43870967741935485, 0.44155844155844154, 0.4444444444444444, 0.4407894736842105, 0.44370860927152317, 0.44666666666666666, 0.4429530201342282, 0.4391891891891892, 0.43537414965986393, 0.4315068493150685, 0.42758620689655175, 0.4236111111111111, 0.42657342657342656, 0.4295774647887324, 0.4326241134751773, 0.42857142857142855, 0.4316546762589928, 0.43478260869565216, 0.43795620437956206, 0.4411764705882353, 0.43703703703703706, 0.43283582089552236, 0.42857142857142855, 0.4318181818181818, 0.42748091603053434, 0.4230769230769231, 0.4263565891472868, 0.4296875, 0.4330708661417323, 0.4365079365079365, 0.432, 0.43548387096774194, 0.43902439024390244, 0.4426229508196721, 0.4462809917355372, 0.45, 0.44537815126050423, 0.4491525423728814, 0.4444444444444444, 0.4482758620689655, 0.4434782608695652, 0.4473684210526316, 0.45132743362831856, 0.44642857142857145, 0.45045045045045046, 0.45454545454545453, 0.45871559633027525, 0.46296296296296297, 0.4672897196261682, 0.46226415094339623, 0.4666666666666667, 0.47115384615384615, 0.47572815533980584, 0.4803921568627451, 0.48514851485148514, 0.48, 0.48484848484848486, 0.47959183673469385, 0.4845360824742268, 0.4791666666666667, 0.4842105263157895, 0.48936170212765956, 0.4946236559139785, 0.4891304347826087, 0.4945054945054945, 0.4888888888888889, 0.4943820224719101, 0.48863636363636365, 0.4827586206896552, 0.4883720930232558, 0.4823529411764706, 0.4880952380952381, 0.4939759036144578, 0.5, 0.49382716049382713, 0.5, 0.5063291139240507, 0.5128205128205128, 0.5194805194805194, 0.5263157894736842, 0.5333333333333333, 0.527027027027027, 0.5205479452054794, 0.5138888888888888, 0.5211267605633803, 0.5142857142857142, 0.5072463768115942, 0.5147058823529411, 0.5223880597014925, 0.5151515151515151, 0.5230769230769231, 0.515625, 0.5238095238095238, 0.532258064516129, 0.5409836065573771, 0.5333333333333333, 0.5423728813559322, 0.5344827586206896, 0.543859649122807, 0.5535714285714286, 0.5636363636363636, 0.5740740740740741, 0.5849056603773585, 0.5961538461538461, 0.6078431372549019, 0.62, 0.6122448979591837, 0.625, 0.6382978723404256, 0.6521739130434783, 0.6444444444444445, 0.6590909090909091, 0.6744186046511628, 0.6666666666666666, 0.6829268292682927, 0.7, 0.6923076923076923, 0.6842105263157895, 0.7027027027027027, 0.7222222222222222, 0.7142857142857143, 0.7058823529411765, 0.7272727272727273, 0.75, 0.7741935483870968, 0.8, 0.7931034482758621, 0.8214285714285714, 0.8148148148148148, 0.8461538461538461, 0.84, 0.8333333333333334, 0.8695652173913043, 0.8636363636363636, 0.8571428571428571, 0.85, 0.8421052631578947, 0.8333333333333334, 0.8823529411764706, 0.875, 0.8666666666666667, 0.8571428571428571, 0.9230769230769231, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 0.9882352941176471, 0.9882352941176471, 0.9882352941176471, 0.9882352941176471, 0.9764705882352941, 0.9647058823529412, 0.9529411764705882, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9294117647058824, 0.9294117647058824, 0.9294117647058824, 0.9294117647058824, 0.9294117647058824, 0.9294117647058824, 0.9294117647058824, 0.9294117647058824, 0.9294117647058824, 0.9176470588235294, 0.9176470588235294, 0.9176470588235294, 0.9176470588235294, 0.9176470588235294, 0.9058823529411765, 0.9058823529411765, 0.8941176470588236, 0.8941176470588236, 0.8941176470588236, 0.8941176470588236, 0.8941176470588236, 0.8941176470588236, 0.8941176470588236, 0.8941176470588236, 0.8941176470588236, 0.8941176470588236, 0.8823529411764706, 0.8705882352941177, 0.8705882352941177, 0.8705882352941177, 0.8705882352941177, 0.8705882352941177, 0.8588235294117647, 0.8470588235294118, 0.8470588235294118, 0.8352941176470589, 0.8352941176470589, 0.8352941176470589, 0.8352941176470589, 0.8352941176470589, 0.8235294117647058, 0.8117647058823529, 0.8117647058823529, 0.8117647058823529, 0.8, 0.8, 0.8, 0.788235294117647, 0.788235294117647, 0.788235294117647, 0.7764705882352941, 0.7647058823529411, 0.7529411764705882, 0.7411764705882353, 0.7294117647058823, 0.7176470588235294, 0.7176470588235294, 0.7176470588235294, 0.7176470588235294, 0.7058823529411765, 0.7058823529411765, 0.7058823529411765, 0.7058823529411765, 0.7058823529411765, 0.6941176470588235, 0.6823529411764706, 0.6705882352941176, 0.6705882352941176, 0.6588235294117647, 0.6470588235294118, 0.6470588235294118, 0.6470588235294118, 0.6470588235294118, 0.6470588235294118, 0.6352941176470588, 0.6352941176470588, 0.6352941176470588, 0.6352941176470588, 0.6352941176470588, 0.6352941176470588, 0.6235294117647059, 0.6235294117647059, 0.611764705882353, 0.611764705882353, 0.6, 0.6, 0.6, 0.5882352941176471, 0.5882352941176471, 0.5882352941176471, 0.5882352941176471, 0.5882352941176471, 0.5882352941176471, 0.5764705882352941, 0.5764705882352941, 0.5764705882352941, 0.5764705882352941, 0.5764705882352941, 0.5764705882352941, 0.5647058823529412, 0.5647058823529412, 0.5529411764705883, 0.5529411764705883, 0.5411764705882353, 0.5411764705882353, 0.5411764705882353, 0.5411764705882353, 0.5294117647058824, 0.5294117647058824, 0.5176470588235295, 0.5176470588235295, 0.5058823529411764, 0.49411764705882355, 0.49411764705882355, 0.4823529411764706, 0.4823529411764706, 0.4823529411764706, 0.4823529411764706, 0.47058823529411764, 0.47058823529411764, 0.47058823529411764, 0.47058823529411764, 0.47058823529411764, 0.47058823529411764, 0.47058823529411764, 0.4588235294117647, 0.4470588235294118, 0.43529411764705883, 0.43529411764705883, 0.4235294117647059, 0.4117647058823529, 0.4117647058823529, 0.4117647058823529, 0.4, 0.4, 0.38823529411764707, 0.38823529411764707, 0.38823529411764707, 0.38823529411764707, 0.3764705882352941, 0.3764705882352941, 0.36470588235294116, 0.36470588235294116, 0.36470588235294116, 0.36470588235294116, 0.36470588235294116, 0.36470588235294116, 0.36470588235294116, 0.36470588235294116, 0.36470588235294116, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.3411764705882353, 0.3411764705882353, 0.3411764705882353, 0.32941176470588235, 0.32941176470588235, 0.32941176470588235, 0.3176470588235294, 0.3058823529411765, 0.3058823529411765, 0.3058823529411765, 0.29411764705882354, 0.2823529411764706, 0.2823529411764706, 0.2823529411764706, 0.2823529411764706, 0.2823529411764706, 0.27058823529411763, 0.27058823529411763, 0.25882352941176473, 0.25882352941176473, 0.24705882352941178, 0.23529411764705882, 0.23529411764705882, 0.2235294117647059, 0.21176470588235294, 0.2, 0.18823529411764706, 0.17647058823529413, 0.17647058823529413, 0.16470588235294117, 0.15294117647058825, 0.1411764705882353, 0.1411764705882353, 0.1411764705882353, 0.12941176470588237, 0.11764705882352941, 0.10588235294117647, 0.09411764705882353, 0.08235294117647059, 0.07058823529411765, 0.058823529411764705, 0.047058823529411764, 0.03529411764705882, 0.023529411764705882, 0.011764705882352941, 0.0]",0.6080454759941546,0.6247242647058824,0.6444444443012346,0.3411764705480969,0.4461538415585799,0.10116,0.020441988950276244
