fpr,tpr,threshold
0.0,0.0,inf
0.0,0.011764705882352941,0.9664661
0.0,0.1411764705882353,0.92308533
0.015625,0.1411764705882353,0.91854817
0.015625,0.17647058823529413,0.91418755
0.0234375,0.17647058823529413,0.91119194
0.0234375,0.23529411764705882,0.9008626
0.03125,0.23529411764705882,0.8952816
0.03125,0.25882352941176473,0.8916598
0.0390625,0.25882352941176473,0.8916244
0.0390625,0.27058823529411763,0.8908861
0.046875,0.27058823529411763,0.8799088
0.046875,0.2823529411764706,0.86865
0.078125,0.2823529411764706,0.82405776
0.078125,0.3058823529411765,0.7495743
0.09375,0.3058823529411765,0.7094597
0.09375,0.32941176470588235,0.7009162
0.109375,0.32941176470588235,0.6895619
0.109375,0.3411764705882353,0.6411717
0.125,0.3411764705882353,0.5706606
0.125,0.35294117647058826,0.55550015
0.1484375,0.35294117647058826,0.51083875
0.1484375,0.36470588235294116,0.51031107
0.2109375,0.36470588235294116,0.46372116
0.2109375,0.3764705882352941,0.4558331
0.21875,0.3764705882352941,0.45406345
0.21875,0.38823529411764707,0.4538959
0.2421875,0.38823529411764707,0.4494362
0.2421875,0.4,0.44566637
0.25,0.4,0.4441455
0.25,0.4117647058823529,0.43488657
0.265625,0.4117647058823529,0.42340106
0.265625,0.43529411764705883,0.41854617
0.2734375,0.43529411764705883,0.4182768
0.2734375,0.47058823529411764,0.40762076
0.3203125,0.47058823529411764,0.39790863
0.3203125,0.4823529411764706,0.39509514
0.34375,0.4823529411764706,0.38931504
0.34375,0.49411764705882355,0.389068
0.3515625,0.49411764705882355,0.38670725
0.3515625,0.5176470588235295,0.38194543
0.359375,0.5176470588235295,0.3807403
0.359375,0.5294117647058824,0.37814996
0.3671875,0.5294117647058824,0.37197667
0.3671875,0.5411764705882353,0.37196243
0.390625,0.5411764705882353,0.36419562
0.390625,0.5529411764705883,0.3625307
0.3984375,0.5529411764705883,0.3541168
0.3984375,0.5647058823529412,0.35306147
0.40625,0.5647058823529412,0.34061503
0.40625,0.5764705882352941,0.33630225
0.4453125,0.5764705882352941,0.31068864
0.4453125,0.5882352941176471,0.3034558
0.4921875,0.5882352941176471,0.2861508
0.4921875,0.611764705882353,0.2817378
0.5,0.611764705882353,0.28014165
0.5,0.6352941176470588,0.27600655
0.53125,0.6352941176470588,0.26737875
0.53125,0.6470588235294118,0.26615041
0.5703125,0.6470588235294118,0.26328927
0.5703125,0.6705882352941176,0.2581872
0.59375,0.6705882352941176,0.25661895
0.59375,0.6823529411764706,0.2515731
0.6171875,0.6823529411764706,0.2488285
0.6171875,0.7058823529411765,0.24832791
0.6328125,0.7058823529411765,0.24794541
0.6328125,0.7176470588235294,0.24753591
0.640625,0.7176470588235294,0.2466744
0.640625,0.7529411764705882,0.24266706
0.6640625,0.7529411764705882,0.23801969
0.6640625,0.7647058823529411,0.23649377
0.6796875,0.7647058823529411,0.2347025
0.6796875,0.8,0.23317249
0.6875,0.8,0.23280832
0.6875,0.8235294117647058,0.2298806
0.71875,0.8235294117647058,0.22900502
0.71875,0.8352941176470589,0.22881278
0.7265625,0.8352941176470589,0.22797067
0.7265625,0.8588235294117647,0.22672808
0.765625,0.8588235294117647,0.22441821
0.765625,0.8941176470588236,0.22146572
0.8359375,0.8941176470588236,0.21531774
0.8359375,0.9058823529411765,0.21445066
0.84375,0.9058823529411765,0.21423686
0.84375,0.9176470588235294,0.21229996
0.875,0.9176470588235294,0.2092277
0.875,0.9294117647058824,0.20917611
0.9375,0.9294117647058824,0.20166995
0.9375,0.9411764705882353,0.19675957
0.96875,0.9411764705882353,0.19001801
0.96875,0.9882352941176471,0.18577862
0.9921875,0.9882352941176471,0.17110659
0.9921875,1.0,0.16167429
1.0,1.0,0.15763536
