method,marker_gain,control_fp,rare_support,ground_truth_ap,ground_truth_auc,disagreement_penalty
raw,0.0,0.0,0.0,0.39906103286384975,0.5,0.409249871969223
gene_median,1.0,0.9894087511631863,0.9802025782688766,0.3157389345505329,0.3788602941176471,0.9715011715888977
svd_impute,0.9152542372881356,0.5033369688115988,0.07716390423572744,0.5554716789762637,0.6111672794117646,0.42248016595840454
graph_smooth,0.8220338983050848,0.49220540118670014,0.0636279926335175,0.6458839368361806,0.6680147058823529,0.45221027731895447
MAGIC,0.9745762711864406,0.5630922244124034,0.10211786372007367,0.6250885969321317,0.6459558823529412,0.4315964877605438
scVI,0.9830508474576272,0.5749692318467896,0.09152854511970535,0.5434456653560125,0.6341911764705882,0.4358232319355011
latent_truth_scvi_select,0.4915254237288136,0.014733692878798492,0.01721915285451197,0.573307195989085,0.6120404411764706,0.6032743453979492
