fpr,tpr,threshold
0.0,0.0,inf
0.0,0.008771929824561403,0.98428625
0.0,0.02631578947368421,0.9718748
0.01775147928994083,0.02631578947368421,0.9474404
0.01775147928994083,0.08771929824561403,0.9077468
0.023668639053254437,0.08771929824561403,0.90756756
0.023668639053254437,0.12280701754385964,0.89437985
0.029585798816568046,0.12280701754385964,0.8943669
0.029585798816568046,0.14035087719298245,0.87363905
0.04142011834319527,0.14035087719298245,0.84913456
0.04142011834319527,0.14912280701754385,0.8417859
0.047337278106508875,0.14912280701754385,0.82921463
0.047337278106508875,0.15789473684210525,0.8154185
0.05325443786982249,0.15789473684210525,0.81080353
0.05325443786982249,0.17543859649122806,0.7885591
0.05917159763313609,0.17543859649122806,0.7756442
0.05917159763313609,0.19298245614035087,0.77455455
0.07692307692307693,0.19298245614035087,0.73921883
0.07692307692307693,0.20175438596491227,0.73146546
0.08284023668639054,0.20175438596491227,0.71489227
0.08284023668639054,0.21052631578947367,0.7105982
0.08875739644970414,0.21052631578947367,0.6911833
0.08875739644970414,0.2543859649122807,0.66014415
0.10059171597633136,0.2543859649122807,0.64085084
0.10059171597633136,0.2719298245614035,0.6303321
0.11834319526627218,0.2719298245614035,0.6126726
0.11834319526627218,0.32456140350877194,0.5866875
0.1301775147928994,0.32456140350877194,0.569002
0.1301775147928994,0.34210526315789475,0.5565732
0.14201183431952663,0.34210526315789475,0.54620993
0.14201183431952663,0.35964912280701755,0.5438889
0.15384615384615385,0.35964912280701755,0.5211896
0.15384615384615385,0.38596491228070173,0.5166183
0.15976331360946747,0.38596491228070173,0.51055217
0.15976331360946747,0.4298245614035088,0.48132655
0.1834319526627219,0.4298245614035088,0.4753958
0.1834319526627219,0.4473684210526316,0.47152856
0.1952662721893491,0.4473684210526316,0.46164227
0.1952662721893491,0.45614035087719296,0.460633
0.20118343195266272,0.45614035087719296,0.4592054
0.20118343195266272,0.4649122807017544,0.4571016
0.20710059171597633,0.4649122807017544,0.45650023
0.20710059171597633,0.4824561403508772,0.43984187
0.21301775147928995,0.4824561403508772,0.4396172
0.21301775147928995,0.49122807017543857,0.4366256
0.21893491124260356,0.49122807017543857,0.43512836
0.21893491124260356,0.5,0.433264
0.22485207100591717,0.5,0.43022522
0.22485207100591717,0.5175438596491229,0.42055717
0.23076923076923078,0.5175438596491229,0.41661832
0.23076923076923078,0.5263157894736842,0.41161987
0.24260355029585798,0.5263157894736842,0.40165934
0.24260355029585798,0.5350877192982456,0.3942272
0.2485207100591716,0.5350877192982456,0.39263955
0.2485207100591716,0.543859649122807,0.39220273
0.25443786982248523,0.543859649122807,0.3885849
0.25443786982248523,0.5614035087719298,0.38209975
0.2603550295857988,0.5614035087719298,0.38197058
0.2603550295857988,0.5701754385964912,0.38031182
0.27218934911242604,0.5701754385964912,0.37348273
0.27218934911242604,0.5877192982456141,0.3713537
0.2781065088757396,0.5877192982456141,0.36504805
0.2781065088757396,0.5964912280701754,0.3640279
0.2958579881656805,0.5964912280701754,0.35888425
0.2958579881656805,0.6228070175438597,0.35785532
0.30177514792899407,0.6228070175438597,0.35607418
0.30177514792899407,0.631578947368421,0.3556948
0.31952662721893493,0.631578947368421,0.3460041
0.31952662721893493,0.6403508771929824,0.34588656
0.33136094674556216,0.6403508771929824,0.34146348
0.33136094674556216,0.6578947368421053,0.3404252
0.378698224852071,0.6578947368421053,0.33029497
0.378698224852071,0.6666666666666666,0.3302464
0.39644970414201186,0.6666666666666666,0.3267111
0.39644970414201186,0.6754385964912281,0.31700906
0.42011834319526625,0.6754385964912281,0.31166908
0.42011834319526625,0.6842105263157895,0.3109448
0.4319526627218935,0.6842105263157895,0.30688095
0.4319526627218935,0.7105263157894737,0.3033237
0.44970414201183434,0.7105263157894737,0.29459545
0.44970414201183434,0.7192982456140351,0.29386997
0.44970414201183434,0.7368421052631579,0.29176384
0.44970414201183434,0.7543859649122807,0.29099578
0.46745562130177515,0.7543859649122807,0.2878929
0.46745562130177515,0.7631578947368421,0.2875103
0.5029585798816568,0.7631578947368421,0.28394264
0.5029585798816568,0.7719298245614035,0.28362006
0.5384615384615384,0.7719298245614035,0.2794212
0.5384615384615384,0.7894736842105263,0.27795234
0.5502958579881657,0.7894736842105263,0.27689615
0.5502958579881657,0.7982456140350878,0.27500057
0.5976331360946746,0.7982456140350878,0.27086377
0.5976331360946746,0.8070175438596491,0.2703743
0.6923076923076923,0.8070175438596491,0.26478988
0.6923076923076923,0.8157894736842105,0.2632241
0.7396449704142012,0.8157894736842105,0.25756612
0.7396449704142012,0.8245614035087719,0.257402
0.7869822485207101,0.8245614035087719,0.25141215
0.7869822485207101,0.8333333333333334,0.2512753
0.8106508875739645,0.8333333333333334,0.24916218
0.8106508875739645,0.8421052631578947,0.24892083
0.8284023668639053,0.8421052631578947,0.24803963
0.8402366863905325,0.8421052631578947,0.24781181
0.863905325443787,0.8421052631578947,0.24526966
0.8757396449704142,0.8421052631578947,0.24416918
0.8875739644970414,0.8421052631578947,0.2434899
0.8875739644970414,0.8508771929824561,0.24348642
0.893491124260355,0.8508771929824561,0.24340789
0.893491124260355,0.868421052631579,0.24305467
0.9289940828402367,0.868421052631579,0.23968852
0.9289940828402367,0.8771929824561403,0.23959981
0.9526627218934911,0.8771929824561403,0.23394075
0.9526627218934911,0.8947368421052632,0.23298499
0.9585798816568047,0.8947368421052632,0.2304411
0.9585798816568047,0.9122807017543859,0.22803122
0.9644970414201184,0.9122807017543859,0.22668326
0.9644970414201184,0.9210526315789473,0.22651613
0.9763313609467456,0.9210526315789473,0.22437249
0.9763313609467456,0.9385964912280702,0.21882278
0.9881656804733728,0.9385964912280702,0.21620248
0.9881656804733728,0.9473684210526315,0.21603242
0.9940828402366864,0.9473684210526315,0.21097107
0.9940828402366864,0.9649122807017544,0.1991516
1.0,0.9649122807017544,0.1949406
1.0,1.0,0.15757656
