method,marker_gain,control_fp,rare_support,ground_truth_ap,ground_truth_auc,disagreement_penalty,weight
raw,0.0,0.0,0.0,0.4028268551236749,0.5,0.44945859909057617,0.11422910696018541
gene_median,0.0,1.0,1.0,0.31716443637029357,0.3476590885497768,0.580687940120697,0.10433013539417124
svd_impute,0.0,0.460715,0.5328225305446262,0.5689890882523309,0.6690542925360738,0.3962748944759369,0.15389204605456788
graph_smooth,0.0,0.44556,0.5583454131290122,0.6483368361229442,0.7225163500467143,0.4225592613220215,0.16691135129328755
MAGIC,0.0,0.54297,0.6397804928556637,0.5836801609187539,0.669261912176892,0.3273497521877289,0.16887010684279893
scVI,0.0,0.619915,0.6757610271277698,0.6237066783739346,0.7034672480016609,0.41529083251953125,0.1610829250148423
latent_truth_scvi_select,0.0,0.027865,0.09458480016566577,0.5798189658975379,0.5645178033842002,0.5559985041618347,0.13068432844014674
